PERIOD,YEAR,STATS_VALUE
December,2004,13.3
January,2005,17.7
February,2005,18.9
March,2005,15.5
April,2005,12.1
May,2005,10.1
June,2005,6.5
July,2005,7.8
August,2005,9.5
September,2005,10.3
October,2005,12
November,2005,14
December,2005,17.5
January,2006,17.4
February,2006,17.5
March,2006,13.2
April,2006,14.4
May,2006,9.8
June,2006,5.7
July,2006,6.7
August,2006,8.1
September,2006,11.8
October,2006,12.1
November,2006,13.8
December,2006,13.7
January,2007,16
February,2007,17
March,2007,16.5
April,2007,12.3
May,2007,12.1
June,2007,6.3
July,2007,6.8
August,2007,7.9
September,2007,10.3
October,2007,11.9
November,2007,14.1
December,2007,16.4
January,2008,18.3
February,2008,17.3
March,2008,15.9
April,2008,12.9
May,2008,8
June,2008,7.3
July,2008,7.1
August,2008,6.9
September,2008,10.9
October,2008,12.3
November,2008,15
December,2008,16.2
January,2009,18.9
February,2009,16.4
March,2009,15.1
April,2009,13.1
May,2009,7.6
June,2009,6.2
July,2009,6.1
August,2009,9.6
September,2009,10.3
October,2009,10.5
November,2009,13.2
December,2009,15
January,2010,16.5
February,2010,17.2
March,2010,15.9
April,2010,13.9
May,2010,10.4
June,2010,6.9
July,2010,6.4
August,2010,8.6
September,2010,10.9
October,2010,11.9
November,2010,15.3
December,2010,17.9
January,2011,17.7
February,2011,17.8
March,2011,15.6
April,2011,11.6
May,2011,11.4
June,2011,8.4
July,2011,6.2
August,2011,7.2
September,2011,9.4
October,2011,11.6
November,2011,13.6
December,2011,15.7
January,2012,16.6
February,2012,16.3
March,2012,14.2
April,2012,13
May,2012,9.5
June,2012,6
July,2012,7.1
August,2012,9.5
September,2012,10.7
October,2012,11.9
November,2012,12.3
December,2012,17.5
January,2013,18.1
February,2013,16.8
March,2013,16.8
April,2013,12.9
May,2013,9.9
June,2013,7.2
July,2013,8.4
August,2013,10
September,2013,10.2
October,2013,13
November,2013,14.9
December,2013,16.9
January,2014,16.5
February,2014,17.5
March,2014,14.5
April,2014,13.2
May,2014,10.8
June,2014,8.8
July,2014,7
August,2014,7.6
September,2014,10
October,2014,12.1
November,2014,13.9
December,2014,16.2
January,2015,18.6
February,2015,17.1
March,2015,16.1
April,2015,13.8
May,2015,10.8
June,2015,7.3
July,2015,6.6
August,2015,7.8
September,2015,9.2
October,2015,12.8
November,2015,14.4
December,2015,16.1
January,2016,16.9
February,2016,19.5
March,2016,16.2
April,2016,13.4
May,2016,12.2
June,2016,8.5
July,2016,7.5
August,2016,7.2
September,2016,10.8
October,2016,12.6
November,2016,14.4
December,2016,16
January,2017,17.4
February,2017,17.4
March,2017,15
April,2017,13
May,2017,8.8
June,2017,7.4
July,2017,6.7
August,2017,9.2
September,2017,11
October,2017,13
November,2017,15.3
December,2017,19
January,2018,20.2
February,2018,17.6
March,2018,16.5
April,2018,12.4
May,2018,10.4
June,2018,7.9
July,2018,8.1
August,2018,9.1
September,2018,10.9
October,2018,12.1
November,2018,14.3
December,2018,16.6
